video_id,category,url,status,notes
nutrition-01,nutrition/diet,https://youtube.com/shorts/B07WCBVtWPQ?si=N2LqZnP6vcm-HepG,pending,
nutrition-02,nutrition/diet,https://youtube.com/shorts/E76K3cJnoNw?si=kjCu0hISlHAUED4J,pending,
supplements-01,supplements,https://youtube.com/shorts/dYApTkZ7mMo?si=nbjA3K_t5qVqze5D,pending,
supplements-02,supplements,https://youtube.com/shorts/mKNO1B-iOYU?si=8BkMbloiosDQmV4B,pending,
weight_loss-01,weight_loss,https://youtube.com/shorts/kLTe8IX-Q_g?si=JHRyl3ywUIJRtBpa,pending,
weight_loss-02,weight_loss,https://youtube.com/shorts/aLxoeCeJFyI?si=AlYMOQUCJ5oHVTHm,pending,
fitness-01,fitness,https://youtube.com/shorts/JhTNTzVCZWY?si=BuOhWZhyMvH1m2XX,pending,
fitness-02,fitness,https://youtube.com/shorts/ksqjHmSppbQ?si=hp303Pgnw65eWVSN,pending,music audio; health claims shown as on-screen text
skin_hair-01,skin_hair,https://youtube.com/shorts/p4s5qGj81FQ?si=-oL6J2YkNgagAamy,pending,
skin_hair-02,skin_hair,https://youtube.com/shorts/8VsrxXqypUw?si=N6CVa9nNFIB-_pBK,pending,music audio; health claims shown as on-screen text
